"","entrezgene_id","ensembl_gene_id","hgnc_symbol","ensembl_transcript_id"
"163",84171,"ENSG00000138131","LOXL4","ENST00000260702"
"164",3832,"ENSG00000138160","KIF11","ENST00000260731"
"165",403,"ENSG00000138175","ARL3","ENST00000260746"
"166",53836,"ENSG00000138271","GPR87","ENST00000260843"
"167",441631,"ENSG00000110900","TSPAN11","ENST00000261177"
"168",2998,"ENSG00000111713","GYS2","ENST00000261195"
"169",4659,"ENSG00000058272","PPP1R12A","ENST00000261207"
"170",6532,"ENSG00000108576","SLC6A4","ENST00000261707"
"171",23184,"ENSG00000117899","MESD","ENST00000261758"
"172",8483,"ENSG00000138615","CILP","ENST00000261883"
"173",4756,"ENSG00000067141","NEO1","ENST00000261908"
"174",10021,"ENSG00000138622","HCN4","ENST00000261917"
"175",23361,"ENSG00000102870","ZNF629","ENST00000262525"
"176",5774,"ENSG00000070159","PTPN3","ENST00000262539"
"177",10326,"ENSG00000101307","SIRPB1","ENST00000262929"
"178",1801,"ENSG00000108963","DPH1","ENST00000263084"
"179",80114,"ENSG00000122870","BICC1","ENST00000263103"
"180",54926,"ENSG00000107341","UBE2R2","ENST00000263228"
"181",2906,"ENSG00000105464","GRIN2D","ENST00000263269"
"182",9466,"ENSG00000104998","IL27RA","ENST00000263379"
"183",9829,"ENSG00000116675","DNAJC6","ENST00000263441"
"184",51631,"ENSG00000146963","LUC7L2","ENST00000263545"
"185",9917,"ENSG00000116199","FAM20B","ENST00000263733"
"186",51101,"ENSG00000104427","ZC2HC1A","ENST00000263849"
"187",4811,"ENSG00000116962","NID1","ENST00000264187"
"188",79594,"ENSG00000090432","MUL1","ENST00000264198"
"189",10606,"ENSG00000128050","PAICS","ENST00000264221"
"190",84273,"ENSG00000084092","NOA1","ENST00000264230"
"191",56925,"ENSG00000079257","LXN","ENST00000264265"
"192",83478,"ENSG00000138639","ARHGAP24","ENST00000264343"
"193",8916,"ENSG00000138641","HERC3","ENST00000264345"
"194",22979,"ENSG00000084710","EFR3B","ENST00000264719"
"195",53834,"ENSG00000127418","FGFRL1","ENST00000264748"
"196",55300,"ENSG00000038210","PI4K2B","ENST00000264864"
"197",2651,"ENSG00000111846","GCNT2","ENST00000265012"
"198",27146,"ENSG00000047662","FAM184B","ENST00000265018"
"199",10427,"ENSG00000138802","SEC24B","ENST00000265175"
"200",84515,"ENSG00000125885","MCM8","ENST00000265187"
"201",6722,"ENSG00000112658","SRF","ENST00000265354"
"202",11059,"ENSG00000123124","WWP1","ENST00000265428"
"203",311,"ENSG00000122359","ANXA11","ENST00000265447"
"204",4547,"ENSG00000138823","MTTP","ENST00000265517"
"205",387,"ENSG00000067560","RHOA","ENST00000265538"
"206",56937,"ENSG00000124225","PMEPA1","ENST00000265626"
"207",51083,"ENSG00000069482","GAL","ENST00000265643"
"208",114049,"ENSG00000071462","BUD23","ENST00000265758"
"209",11070,"ENSG00000126062","TMEM115","ENST00000266025"
"210",2771,"ENSG00000114353","GNAI2","ENST00000266027"
"211",1795,"ENSG00000088538","DOCK3","ENST00000266037"
"212",6425,"ENSG00000120057","SFRP5","ENST00000266066"
"213",55251,"ENSG00000203880","PCMTD2","ENST00000266078"
"214",24148,"ENSG00000101161","PRPF6","ENST00000266079"
"215",7078,"ENSG00000100234","TIMP3","ENST00000266085"
"216",23761,"ENSG00000241878","PISD","ENST00000266095"
