"","ENTREZID","SYMBOL","NR_PROB","ESR_PROB","EAR_PROB","LR_PROB","DNR.3H.P.PRIOR","DOX.3H.P.PRIOR","EPI.3H.P.PRIOR","MTX.3H.P.PRIOR","TRZ.3H.P.PRIOR","DNR.24H.P.PRIOR","DOX.24H.P.PRIOR","EPI.24H.P.PRIOR","MTX.24H.P.PRIOR","TRZ.24H.P.PRIOR","MOTIF"
"8445",29079,"MED4",0.998765984240317,4.84493921145819e-07,0.000301646971014552,0.000931884294747759,0.000349861401166451,0.000373872287679885,0.000352075664062757,0.000351440073159033,0.00123007713747248,0.000963165796311266,0.000959924468769189,0.000958306796479469,0.00478916676284252,0.00118120708454598,"NR"
"8446",5925,"RB1",0.712015866217595,9.36756395981065e-05,0.000145555718362736,0.287744902424444,0.00029982922645903,0.000294919140075947,0.000301603788124569,0.000285525941740873,0.00128548088201985,0.288069873354479,0.288025246340972,0.287518748689342,0.0191531490587956,0.00144738575663692,"NR"
"8447",81602,"CDADC1",0.839394085187435,6.32346632898097e-05,0.000206764531314772,0.160335915617961,0.000336275812825835,0.000302840058843962,0.000326793371342515,0.000321359156531412,0.00132252950231795,0.160680316514242,0.16044994033117,0.160326558856349,0.00876136463936882,0.00128536466056435,"NR"
"8448",55213,"RCBTB1",0.648492893245929,0.000471811230941507,0.000548088956109815,0.35048720656702,0.00111152934044821,0.00103499685437151,0.00106852160704406,0.00114218049413562,0.00133694251090448,0.350521591057817,0.35140693081017,0.351019513425695,0.0781770401193722,0.00142080780030327,"NR"
"8449",57213,"SPRYD7",0.756730476887271,8.47244188206058e-05,0.00016707669210265,0.243017722001806,0.000325088402251428,0.000298259742689143,0.000304238729444258,0.000299461965956195,0.0012650884367918,0.24311718113341,0.243588613100392,0.24279431141675,0.0227389844519689,0.00151513177350172,"NR"
"8450",145165,"ST13P4",0.724483638162617,0.000123377390322622,0.000226920718158075,0.275166063728903,0.000419969807479469,0.000431891884938365,0.000401871416592854,0.000399423840381593,0.00131301623151601,0.275834375999728,0.275075785136079,0.275175538767059,0.124241032626725,0.00140479207149344,"NR"
"8451",79758,"DHRS12",0.991188073246255,3.64603811546261e-06,0.000721200179308608,0.00808708053632094,0.000766390491644318,0.000677747051364604,0.000766637557047815,0.000802804495389677,0.0012912359410695,0.00809395983687374,0.00808742851986748,0.00806840429147914,0.495258094484973,0.00119486197501091,"NR"
"8452",440138,"ALG11",0.99901876385264,2.66216119301797e-07,0.000195437685607524,0.000785532245633136,0.000245691061609754,0.000263983415024233,0.00024569854902075,0.000228532310684171,0.00133504586228683,0.000823661849182218,0.000803550944079153,0.00081677823364682,0.00216039446439816,0.00119853347392395,"NR"
"8453",9724,"UTP14C",0.997678531140544,1.04708363821571e-06,0.000309983555202294,0.00201043822061587,0.000368411878737642,0.000322705651339945,0.000378318480712111,0.000357923459831167,0.0011517315736698,0.00207529370445352,0.00204595182056146,0.00202983371127489,0.00191048466472168,0.00119193366804189,"NR"
"8454",55901,"THSD1",0.985874038916553,2.52729337257097e-05,0.00161063682704335,0.012490051322678,0.00166504191899308,0.00172193231444997,0.00166750722887402,0.00177060948979484,0.00124407629754752,0.012556897728828,0.0125613189828799,0.012490677608555,0.0906811343120348,0.00143919567560949,"NR"
