"","x"
"416","XM_047417535.1"
"417","XM_047417538.1"
"418","XM_047417546.1"
"419","XM_047417581.1"
"420","XM_047417585.1"
"421","XM_047417589.1"
"422","XM_047417590.1"
"423","XM_047417599.1"
"424","NM_001291593.2"
"425","NM_001291594.2"
"426","NM_015102.5"
"427","NR_111987.2"
"428","XM_006710563.4"
"429","XM_017000999.2"
"430","XM_047417537.1"
"431","XM_047417574.1"
"432","XM_017000998.1"
"433","XR_007058632.1"
"434","XM_017001002.2"
"435","XM_047417617.1"
"436","XM_047432878.1"
"437","NM_001199861.2"
"438","XM_005263514.4"
"439","XM_011542321.4"
"440","XM_047432866.1"
"441","XM_047432870.1"
"442","XM_047432872.1"
"443","NM_003636.4"
"444","NM_172130.3"
"445","XM_011542322.3"
"446","NM_001199860.2"
"447","XM_047432867.1"
"448","NM_001199862.2"
"449","NM_001199863.2"
"450","XM_017002620.2"
"451","NM_000983.4"
"452","NR_125997.1"
"453","XM_047420023.1"
"454","XM_047420029.1"
"455","XR_001737159.3"
"456","XR_001737161.3"
"457","XR_002956484.2"
"458","XR_002956486.2"
"459","NM_207396.3"
"460","XM_011541439.4"
"461","XM_047420010.1"
"462","XM_047420021.1"
"463","XM_011541140.3"
"464","NM_012405.4"
"465","XM_047416592.1"
"466","XM_017001250.2"
"467","NM_207370.4"
"468","XM_011541434.4"
"469","NM_181866.3"
"470","NM_181865.3"
"471","XM_047443399.1"
"472","NM_181864.3"
"473","NM_007274.4"
"474","XM_011542237.1"
"475","XM_011542238.4"
"476","XM_011542231.1"
"477","XM_011542232.1"
"478","NM_001367473.1"
"479","NM_001367474.1"
"480","NM_031475.3"
"481","XM_017002433.2"
"482","XM_011542233.3"
"483","XM_047431542.1"
"484","XM_047431549.1"
"485","XM_047431551.1"
"486","XM_011542236.3"
"487","NM_001265593.2"
"488","NM_001042665.2"
"489","NM_001042664.2"
"490","NM_001265594.3"
"491","NM_020631.6"
"492","NM_001265592.2"
"493","NM_001042663.3"
"494","NM_198681.4"
"495","XM_011542147.4"
"496","XM_047430556.1"
"497","XM_005263493.5"
"498","XM_047430565.1"
"499","NM_024654.5"
"500","XM_017001111.3"
"501","XM_047418875.1"
"502","XM_047418865.1"
"503","NM_001278647.2"
"504","NM_001278648.2"
"505","NM_005341.4"
"506","XM_047418864.1"
"507","XM_047418867.1"
"508","XM_047418868.1"
"509","XM_047418869.1"
"510","XM_047418870.1"
"511","XM_047418878.1"
"512","XM_047418880.1"
"513","XM_047418882.1"
"514","NM_001324309.2"
"515","NM_014851.4"
"516","NM_153812.3"
"517","XM_011540762.2"
"518","NM_001195752.2"
"519","NM_001195753.2"
"520","XM_024450686.2"
"521","XM_047433628.1"
"522","NM_001394496.1"
"523","NM_001394499.1"
"524","NM_001394500.1"
"525","NM_001394497.1"
"526","NM_001394498.1"
"527","NM_138350.4"
"528","XM_047424842.1"
"529","NM_018198.4"
"530","NM_001195563.2"
"531","NM_001349627.2"
"532","NR_146204.2"
"533","XM_017000781.2"
"534","XR_007057950.1"
"535","XR_001737062.2"
"536","NM_001242701.2"
"537","NR_038934.2"
"538","NR_146202.2"
"539","NR_146203.2"
"540","XR_001737064.2"
"541","XM_017000780.3"
"542","XM_011541092.4"
"543","XM_011541091.3"
"544","XM_017000774.3"
"545","XM_047415993.1"
"546","NM_001349608.2"
"547","NM_001349609.2"
"548","NM_001349610.2"
"549","NM_001349612.2"
"550","NM_001410737.1"
"551","NM_001410738.1"
"552","NM_015215.4"
"553","XM_011541083.3"
"554","XM_011541084.3"
"555","XM_011541086.4"
"556","XM_011541087.3"
"557","XM_011541088.3"
"558","XM_011541090.4"
"559","XM_017000778.2"
"560","XM_047415997.1"
"561","XM_047415999.1"
"562","XM_047416005.1"
"563","XM_047416024.1"
"564","XM_047415988.1"
"565","XM_047416009.1"
"566","NM_001349614.1"
"567","NM_001349620.1"
"568","NM_001349621.1"
"569","NM_001349623.1"
"570","NM_001349625.2"
"571","XM_024454334.1"
"572","NM_001349617.1"
"573","XM_024454329.2"
"574","XM_024454330.2"
"575","NM_001349613.1"
"576","NM_001349615.2"
"577","NM_001349616.2"
"578","NM_001349618.2"
"579","NM_001349619.2"
"580","NM_001349622.2"
"581","NM_001349624.3"
"582","NM_001349626.2"
"583","XM_024454332.2"
"584","XM_024454331.2"
"585","XM_024454333.2"
"586","NM_004781.4"
"587","NM_001289861.2"
"588","NM_001289863.3"
"589","NM_001289864.3"
"590","NM_001377275.1"
"591","NM_001377276.1"
"592","NM_016831.4"
"593","XM_005263524.5"
"594","XM_017002723.3"
"595","XM_017002724.3"
"596","XM_017002726.3"
"597","XM_024450586.2"
"598","XM_024450587.2"
"599","XM_024450590.2"
"600","XM_047433434.1"
"601","XM_047433435.1"
"602","XM_047433436.1"
"603","XM_047433437.1"
"604","XM_047433438.1"
"605","XM_047433440.1"
"606","XM_047433442.1"
"607","XM_047433443.1"
"608","XM_047433446.1"
"609","XM_047433447.1"
"610","XM_047433448.1"
"611","XM_047433449.1"
"612","XM_047433451.1"
"613","XM_047433453.1"
"614","XM_047433454.1"
"615","XM_047433455.1"
"616","XM_047433456.1"
"617","XM_047433457.1"
"618","XM_047433458.1"
"619","XM_047433459.1"
"620","XM_047433466.1"
"621","XM_047433468.1"
"622","XM_047433472.1"
"623","XM_047433473.1"
"624","XM_047433439.1"
"625","XM_047433441.1"
"626","XM_047433444.1"
"627","XM_047433445.1"
"628","XM_047433452.1"
"629","NM_001289862.2"
"630","XM_047433474.1"
"631","XM_047433475.1"
"632","XM_017002729.2"
"633","XM_047433476.1"
"634","NM_001561.6"
"635","XM_006710618.4"
"636","XM_047419672.1"
"637","NM_001123377.2"
"638","NM_007262.5"
"639","XM_005263424.4"
"640","XM_047422701.1"
"641","XM_005263477.4"
"642","XM_047422698.1"
"643","NM_018948.4"
"644","NM_001080397.3"
"645","NM_001379614.1"
"646","NM_001379615.1"
"647","NM_001379616.1"
"648","NM_001379617.1"
"649","NM_001379618.1"
"650","XM_047421726.1"
"651","NM_001042682.2"
"652","NM_001042681.2"
"653","NM_012102.4"
"654","NM_001201483.4"
"655","NM_001353346.3"
"656","NM_001428.5"
"657","NM_024980.5"
"658","XM_005263496.6"
"659","XM_005263497.6"
"660","XR_007063977.1"
